"SITE_ID","FW_ECO9","NTL_RESULT","PTL_RESULT"
"NLA12_SD-122","TPL",2.421,147
"NLA12_UT-112","WMT",0.606,60
"NLA12_UT-128","XER",1.258,72
"NLA12_PA-107","SAP",0.96,41
"NLA12_KS-R02","TPL",0.65,47
"NLA12_MO-109","TPL",1.068,67
"NLA12_IA-132","TPL",2.401,240
"NLA12_NC-116","SAP",0.49,66
"NLA12_MN-145","UMW",0.688,28
"NLA12_MN-118","UMW",4.9,524
"NLA12_MN-111","UMW",0.679,20
"NLA12_ND-104","NPL",2.408,274
"NLA12_ND-118","NPL",2.715,230
"NLA12_NM-150","XER",0.939,159
"NLA12_UT-104","XER",0.259,65
"NLA12_NV-106","XER",0.588,173
"NLA12_NV-101","XER",1.061,437
"NLA12_KS-125","TPL",0.309,16
"NLA12_NM-134","XER",0.129,17
"NLA12_NM-138","WMT",0.305,152
"NLA12_NC-103","CPL",0.114,11
"NLA12_NM-129","SPL",0.505,24
"NLA12_MO-107","CPL",0.985,200
"NLA12_IL-R01","SAP",0.261,21
"NLA12_KS-138","SPL",0.329,12
"NLA12_OK-121","SPL",1.09,119
"NLA12_MN-132","UMW",0.976,38
"NLA12_UT-102","XER",0.186,21
"NLA12_IA-105","TPL",3.05,193
"NLA12_NM-160","SPL",0.611,214
"NLA12_IL-R04","SAP",0.321,18
"NLA12_MS-101","CPL",1.041,124
"NLA12_MS-102","CPL",0.521,36
"NLA12_MS-104","CPL",1.316,129
"NLA12_PA-101","SAP",1.26,25
"NLA12_ND-139","NPL",2.668,131
"NLA12_IA-120","TPL",0.958,191
"NLA12_MT-104","NPL",0.216,29
"NLA12_SD-114","TPL",3.031,144
"NLA12_SD-115","TPL",1.921,187
"NLA12_ND-146","TPL",2.693,128
"NLA12_MN-120","UMW",0.734,46
"NLA12_MN-122","UMW",0.791,38
"NLA12_NH-108","NAP",0.266,27
"NLA12_OK-101","SPL",1.2,48
"NLA12_OK-291","SAP",1.65,188
"NLA12_UT-110","XER",0.431,29
"NLA12_VA-108","SAP",0.271,61
"NLA12_WV-102","SAP",0.128,16
"NLA12_OK-108","SPL",0.56,5
"NLA12_OK-135","SPL",1.63,150
"NLA12_CA-174","XER",0.731,77.7
"NLA12_CA-116","WMT",0.0626,62.6
"NLA12_KS-R08","TPL",0.606,37
"NLA12_ND-110","NPL",1.956,203
"NLA12_VA-125","SAP",0.49,27
"NLA12_KS-105","SPL",1.409,190
"NLA12_IL-R03","SAP",0.409,24
"NLA12_LA-101","CPL",1.453,361
"NLA12_MN-137","TPL",4.638,272
"NLA12_UT-109","XER",1.855,96
"NLA12_NY-0104","NAP",0.429,55
"NLA12_ND-162","TPL",1.958,88
"NLA12_KS-R07","TPL",0.775,71
"NLA12_GA-107","CPL",1.674,76
"NLA12_TX-121","CPL",1.264,204
"NLA12_VA-114","SAP",0.371,35
"NLA12_WV-106","SAP",0.153,14
"NLA12_ND-178","TPL",0.95,51
"NLA12_CA-132","WMT",0.137,11.6
"NLA12_ND-163","NPL",1.953,138
"NLA12_NH-104","NAP",0.225,18
"NLA12_MN-107","UMW",4.063,98
"NLA12_LA-134","CPL",0.795,198
"NLA12_IA-101","TPL",2.234,144
"NLA12_KS-102","SPL",0.885,53
"NLA12_TX-R02","CPL",0.365,41
"NLA12_KS-124","TPL",0.678,103
"NLA12_KS-R11","SPL",0.328,25
"NLA12_MO-119","TPL",0.326,27
"NLA12_NV-127","XER",0.573,43
"NLA12_NV-167","XER",0.845,150
"NLA12_TX-144","SPL",0.47,30
"NLA12_LA-102","CPL",0.538,112
"NLA12_WI-R06","UMW",0.596,19
"NLA12_SD-168","NPL",1.758,293
"NLA12_ND-186","NPL",1.194,68
"NLA12_CA-157","XER",0.0698,4.1
"NLA12_LA-105","CPL",0.358,68
"NLA12_LA-161","CPL",0.615,55
"NLA12_ND-108","NPL",6.788,603
"NLA12_OK-134","SPL",0.95,87
"NLA12_TX-165","CPL",0.436,26
"NLA12_ND-126","NPL",3.088,751
"NLA12_KS-101","SPL",2.003,801
"NLA12_CA-121","XER",0.334,12.3
"NLA12_IA-109","TPL",0.763,59
"NLA12_LA-103","CPL",0.708,215
"NLA12_LA-152","CPL",0.708,45
"NLA12_MN-102","UMW",0.503,44
"NLA12_MT-109","NPL",0.574,43
"NLA12_UT-105","WMT",0.291,23
"NLA12_TX-117","CPL",1.656,239
"NLA12_OR-110","WMT",0.195,21
"NLA12_OK-120","SPL",0.65,30
"NLA12_OK-104","SPL",0.56,5
"NLA12_NH-101","NAP",0.145,22
"NLA12_MI-R08","UMW",0.496,23
"NLA12_SD-172","NPL",1.555,70
"NLA12_SD-124","NPL",2.693,236
"NLA12_SD-140","NPL",0.851,68
"NLA12_MN-108","UMW",0.395,21
"NLA12_CT-101","NAP",0.216,19
"NLA12_NH-R04","NAP",0.181,14
"NLA12_WV-101","SAP",0.173,6
"NLA12_ND-155","NPL",5.119,3590
"NLA12_NY-0101","NAP",0.218,10
"NLA12_OK-109","TPL",0.69,30
"NLA12_MT-118","NPL",1.453,1378
"NLA12_ND-151","NPL",3.125,272
"NLA12_WV-115","SAP",0.306,14
"NLA12_NH-112","NAP",0.159,15
"NLA12_MN-163","UMW",1.268,107
"NLA12_ND-173","NPL",1.831,81
"NLA12_LA-104","CPL",0.691,66
"NLA12_NV-103","XER",0.463,27
"NLA12_NV-102","XER",0.645,138
"NLA12_MN-130","UMW",0.558,31
"NLA12_LA-154","CPL",6.544,1054
"NLA12_LA-155","CPL",0.353,23
"NLA12_UT-160","XER",0.225,30
"NLA12_TX-101","SPL",1.014,181
"NLA12_MI-R09","UMW",0.135,10
"NLA12_MT-138","NPL",0.883,78
"NLA12_TX-160","SPL",0.899,79
"NLA12_MO-104","SAP",0.246,25
"NLA12_MO-117","SAP",0.245,10
"NLA12_CO-124","SPL",1.48,110
"NLA12_LA-106","CPL",1.694,109
"NLA12_LA-109","CPL",1.38,397
"NLA12_TX-195","CPL",0.655,89
"NLA12_IA-106","TPL",1.271,241
"NLA12_NV-141","XER",1.103,137
"NLA12_WI-140","TPL",1.15,75
"NLA12_MD-102","SAP",0.89,81
"NLA12_DE-105","CPL",6.219,16
"NLA12_KS-126","TPL",2.13,455
"NLA12_IA-R03","TPL",0.48,16
"NLA12_IA-103","TPL",0.401,18
"NLA12_VA-R01","SAP",0.176,9
"NLA12_NV-193","WMT",0.445,21
"NLA12_TX-187","CPL",1.07,167
"NLA12_CO-102","WMT",0.135,29
"NLA12_KS-106","SPL",1.024,95
